materialName,limitUpStocks,materialSeq,date,timestamp,materialRate,popularValue,label,humanDragon,middleTroops,dayDragon
题材ID 190,,190,2026-04-17,1776355200000,0.77,0.0,,赛微电子(sz300456),潍柴动力(sz000338),
AI PC概念,,209,2026-04-17,1776355200000,0.74,0.0,,光大同创(sz301387),海光信息(sh688041),
题材ID 117,,117,2026-04-17,1776355200000,0.71,0.0,,陕西华达(sz301517),中国卫星(sh600118),
题材ID 215,,215,2026-04-17,1776355200000,0.71,0.0,,航天电器(sz002025),航天电器(sz002025),
题材ID 247,,247,2026-04-17,1776355200000,0.69,0.0,,光迅科技(sz002281),工业富联(sh601138),光迅科技(sz002281)
题材ID 211,,211,2026-04-17,1776355200000,0.67,0.0,,科瑞技术(sz002957),工业富联(sh601138),科瑞技术(sz002957)
题材ID 212,,212,2026-04-17,1776355200000,0.67,0.0,,可川科技(sh603052),,可川科技(sh603052)
题材ID 235,,235,2026-04-17,1776355200000,0.67,0.0,,维科技术(sh600152),远东股份(sh600869),维科技术(sh600152)
题材ID 106,,106,2026-04-17,1776355200000,0.66,0.0,,圣阳股份(sz002580),宁德时代(sz300750),维科技术(sh600152)
题材ID 288,,288,2026-04-17,1776355200000,0.66,0.0,,德福科技(sz301511),宁德时代(sz300750),大金重工(sz002487)
题材ID 28,,28,2026-04-17,1776355200000,0.64,0.0,,巨力索具(sz002342),中际旭创(sz300308),
题材ID 160,,160,2026-04-17,1776355200000,0.64,0.0,,太辰光(sz300570),长飞光纤(sh601869),
题材ID 34,,34,2026-04-17,1776355200000,0.63,0.0,,鑫磊股份(sz301317),银河电子(sz002519),
题材ID 139,,139,2026-04-17,1776355200000,0.63,0.0,,东方通信(sh600776),东方通信(sh600776),
题材ID 120,,120,2026-04-17,1776355200000,0.61,0.0,,永鼎股份(sh600105),应流股份(sh603308),
题材ID 161,,161,2026-04-17,1776355200000,0.59,0.0,,龙磁科技(sz300835),,
题材ID 177,,177,2026-04-17,1776355200000,0.57,0.0,,超讯通信(sh603322),蓝色光标(sz300058),
题材ID 109,,109,2026-04-17,1776355200000,0.56,0.0,,寒锐钴业(sz300618),盛屯矿业(sh600711),
题材ID 96,,96,2026-04-17,1776355200000,0.55,0.0,,创源股份(sz300703),完美世界(sz002624),
题材ID 204,,204,2026-04-17,1776355200000,0.54,0.0,,博纳影业(sz001330),,华西股份(sz000936)
题材ID 108,,108,2026-04-17,1776355200000,0.52,0.0,,宏盛股份(sh603090),云铝股份(sz000807),
题材ID 4,,4,2026-04-17,1776355200000,0.51,0.0,,科瑞技术(sz002957),广联航空(sz300900),科瑞技术(sz002957)
题材ID 17,,17,2026-04-17,1776355200000,0.48,0.0,,永鼎股份(sh600105),中国广核(sz003816),深南电A(sz000037)
题材ID 232,,232,2026-04-17,1776355200000,0.48,0.0,,金禄电子(sz301282),铂科新材(sz300811),
题材ID 15,,15,2026-04-17,1776355200000,0.46,0.0,,福鞍股份(sh603315),中国广核(sz003816),ST华西(sz002630)
金属空气电池概念,,264,2026-04-17,1776355200000,0.45,0.0,,鹏辉能源(sz300438),鹏辉能源(sz300438),
题材ID 168,,168,2026-04-17,1776355200000,0.44,0.0,,光库科技(sz300620),亨通光电(sh600487),光迅科技(sz002281)
题材ID 219,,219,2026-04-17,1776355200000,0.43,0.0,,天华新能(sz300390),赣锋锂业(sz002460),
题材ID 32,,32,2026-04-17,1776355200000,0.42,0.0,,云南锗业(sz002428),海光信息(sh688041),株冶集团(sh600961)
