rank,plate_code,plate_name,strength,speed,change_percent,amount,main_net_amount,main_buy_amount,main_sell_amount,volume_ratio,float_market_value,large_order_net_amount,raw_columns
124,801970,集装箱,143,2.288,0,3572034654,0,0,0,1.077,269993415447,0,19
125,801589,电机电控,142,1.572,0.027,18502070554,-75330419,1093637857,-1168968276,1.068,761588276545,-29850491,19
126,801164,自行车,142,1.421,-0.101,820208767,-637821,14957460,-15595281,0.942,61516400709,0,19
127,801375,新材料概念,141,1.795,0.233,158605357126,18728361,3524272111,-3505543750,1.041,4482670505693,-84523887,19
128,801576,石墨化,141,1.687,0.07,72164618168,-40530006,484838005,-525368011,1.165,1652379030112,6165078,19
129,801136,安防,140,2.062,0.228,24753083599,-90931092,1378670384,-1469601476,1.041,818240778452,77495830,19
130,801251,送转预期,140,1.4,0.021,5447196785,17258583,89078791,-71820208,0.939,183240434885,5569965,19
131,801751,广东省,139,1.765,0.331,422365058166,335482777,3829220142,-3493737365,0.982,16397616390323,88566817,19
132,801202,世界杯概念,139,1.394,0.005,11021430717,-16496242,163643206,-180139448,1.053,371521383302,-5610574,19
133,801874,电源,137,1.616,0.029,63407839825,103295738,558111335,-454815597,0.992,2787183731320,26848395,19
134,801371,垃圾分类,137,1.717,0.14,8311648573,256208932,1410527271,-1154318339,1.053,243371305393,229363427,19
135,801745,四川省,137,1.478,0.221,84905578034,-26833745,431196040,-458029785,1.068,3237838096895,2204315,19
136,801132,粤港澳,136,1.559,0.069,139315921446,-29103257,283507445,-312610702,0.934,3705735857931,-13942658,19
137,801752,广西壮族自治区,135,1.582,0.071,8739202426,-135665711,393424573,-529090284,0.912,389277957540,-94494268,19
138,801153,创投,135,1.532,0.189,107445767322,22624414,1468158090,-1445533676,0.957,3552108212556,70470410,19
139,801315,高校,135,1.629,-0.012,24818266356,-46520894,291350088,-337870982,1.175,544708791733,-18472877,19
140,801363,黑龙江自贸区,133,1.334,0,1486255972,1285249,1588448,-303199,0.748,92686897577,0,19
141,801635,平台经济,133,1.464,0.439,175721097043,357839922,6039594257,-5681754335,1.044,5782778448545,165550210,19
142,801632,新型城镇化,132,1.667,0.463,46462877282,137647952,935316112,-797668160,1.039,1758898800672,31977259,19
143,801162,超跌,132,1.52,0.539,183171479087,-69510000,1310733717,-1380243717,1.013,4347713792163,2880307,19
144,801754,江苏省,132,1.582,0.246,273046558752,-125778852,3093944732,-3219723584,0.975,8565847028457,121388454,19
145,801546,钒电池,131,1.606,-0.062,28890206727,247159056,897887411,-650728355,1.029,981505835895,89656169,19
146,801096,钽电容,131,1.317,0.04,1958588207,48052649,343019531,-294966882,1.093,74518892961,21612303,19
147,801182,雄安新区,131,1.568,0.101,38877129433,338058290,866099664,-528041374,0.984,1351181013035,29700673,19
148,801177,无人机,129,1.612,0.601,197983618318,-154265603,4088258457,-4242524060,1.086,5171007689936,-30106114,19
149,801995,MIM,129,1.758,0.061,10887335206,-2399645,47079748,-49479393,0.96,317857508197,-11954707,19
